imports,exports
72963189408,54685865249
85872344740,68393219447
94708666043,75369300051
1.09706E+11,81380740167
1.35911E+11,1.00442E+11
1.31433E+11,90537433805
1.34732E+11,86076081837
1.38073E+11,83108095962
1.55846E+11,93017703250
1.70198E+11,1.01667E+11
1.98259E+11,1.14562E+11
2.10799E+11,1.19381E+11
2.15915E+11,1.31507E+11
1.76537E+11,1.05718E+11
2.29986E+11,1.31818E+11
2.62874E+11,1.59947E+11
2.77594E+11,1.74833E+11
2.80556E+11,1.81559E+11
2.9573E+11,1.93345E+11
2.96433E+11,1.85992E+11
2.93501E+11,1.76692E+11
3.12809E+11,1.87136E+11
3.46101E+11,2.0398E+11
3.58126E+11,1.95503E+11
