"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","108.7"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","110.3"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","102.8"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","105.3"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","98.5"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","98.1"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","103"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","104.2"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","102"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","98.9"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","106"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","106.5"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","102.6"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","103.5"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","99.8"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","100.7"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","96.5"
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","99.1"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","107.2"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","106"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","99.7"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","95.6"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","83.5"
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","93.1"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","102.5"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","104.4"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","95.9"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","98.3"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","109.5"
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","110.1"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2017","","","","102.2"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2018","","","","103.8"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2013","","","","102.8"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2014","","","","109.3"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2015","","","","114.9"
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume indices - annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","IDP","Index - (prev. year =100)","2016","","","","105.5"
"Merchandise trade - indices and prices","ITS_MTP_QMV","Merchandise import volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q1","First Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2017","E","Estimate","","181.3"
"Merchandise trade - indices and prices","ITS_MTP_QMV","Merchandise import volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q1","First Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2015","E","Estimate","","168.3"
